"categoria","centroide_lat","centroide_lon","departamento_id","departamento_nombre","fuente","id","localidad_censal_id","localidad_censal_nombre","municipio_id","municipio_nombre","nombre","provincia_id","provincia_nombre"
"Localidad simple",-35.0330734347841,-60.2806197287099,"06021","Alberti","INDEC","06021010000","06021010","Alberti","060021","Alberti","ALBERTI","06","Buenos Aires"
"Localidad simple",-34.8681189984321,-60.3939708823404,"06021","Alberti","INDEC","06021020000","06021020","Coronel Seguí","060021","Alberti","CORONEL SEGUI","06","Buenos Aires"
"Componente de localidad compuesta",-35.068013673391,-60.4025971632697,"06021","Alberti","INDEC","06021030000","06021030","Mechita","060021","Alberti","MECHITA","06","Buenos Aires"
"Localidad simple",-35.1243819752343,-60.2200612615259,"06021","Alberti","INDEC","06021040000","06021040","Pla","060021","Alberti","PLA","06","Buenos Aires"
"Localidad simple",-35.1096178332808,-60.070551324606,"06021","Alberti","INDEC","06021050000","06021050","Villa Grisolía","060021","Alberti","VILLA GRISOLIA","06","Buenos Aires"
"Localidad simple",-34.8881255447686,-60.3469385614883,"06021","Alberti","INDEC","06021060000","06021060","Villa María","060021","Alberti","VILLA MARIA","06","Buenos Aires"
"Localidad simple",-34.8435329449862,-60.3048498633642,"06021","Alberti","INDEC","06021070000","06021070","Villa Ortiz","060021","Alberti","VILLA ORTIZ","06","Buenos Aires"
"Entidad",-34.8015580737331,-58.3914677191541,"06028","Almirante Brown","INDEC","06028010001","06028010","Almirante Brown","060028","Almirante Brown","ADROGUE","06","Buenos Aires"
"Entidad",-34.8315415891783,-58.3986874871405,"06028","Almirante Brown","INDEC","06028010002","06028010","Almirante Brown","060028","Almirante Brown","BURZACO","06","Buenos Aires"
"Entidad",-34.8044759080477,-58.3447825531042,"06028","Almirante Brown","INDEC","06028010003","06028010","Almirante Brown","060028","Almirante Brown","CLAYPOLE","06","Buenos Aires"
"Entidad",-34.8210751643113,-58.3447457989957,"06028","Almirante Brown","INDEC","06028010004","06028010","Almirante Brown","060028","Almirante Brown","DON ORIONE","06","Buenos Aires"
"Entidad",-34.8860114180413,-58.3818301842512,"06028","Almirante Brown","INDEC","06028010005","06028010","Almirante Brown","060028","Almirante Brown","GLEW","06","Buenos Aires"
"Entidad",-34.7851442510713,-58.3681475603787,"06028","Almirante Brown","INDEC","06028010006","06028010","Almirante Brown","060028","Almirante Brown","JOSE MARMOL","06","Buenos Aires"
"Entidad",-34.8609450255718,-58.3891476922426,"06028","Almirante Brown","INDEC","06028010007","06028010","Almirante Brown","060028","Almirante Brown","LONGCHAMPS","06","Buenos Aires"
"Entidad",-34.8189583169642,-58.4235610606239,"06028","Almirante Brown","INDEC","06028010008","06028010","Almirante Brown","060028","Almirante Brown","MALVINAS ARGENTINAS","06","Buenos Aires"
"Entidad",-34.8556895005541,-58.361646542791,"06028","Almirante Brown","INDEC","06028010009","06028010","Almirante Brown","060028","Almirante Brown","MINISTRO RIVADAVIA","06","Buenos Aires"
"Entidad",-34.7911367513318,-58.350598184222,"06028","Almirante Brown","INDEC","06028010010","06028010","Almirante Brown","060028","Almirante Brown","RAFAEL CALZADA","06","Buenos Aires"
"Entidad",-34.7866743578473,-58.3219363521574,"06028","Almirante Brown","INDEC","06028010011","06028010","Almirante Brown","060028","Almirante Brown","SAN FRANCISCO SOLANO","06","Buenos Aires"
"Entidad",-34.7673771924196,-58.3432771404358,"06028","Almirante Brown","INDEC","06028010012","06028010","Almirante Brown","060028","Almirante Brown","SAN JOSE","06","Buenos Aires"
"Entidad",-34.6750056478488,-58.3105634248142,"06035","Avellaneda","INDEC","06035010001","06035010","Avellaneda","060035","Avellaneda","AREA CINTURON ECOLOGICO","06","Buenos Aires"
"Entidad",-34.6626508059016,-58.3656990232718,"06035","Avellaneda","INDEC","06035010002","06035010","Avellaneda","060035","Avellaneda","AVELLANEDA","06","Buenos Aires"
"Entidad",-34.66910587351,-58.3574544412345,"06035","Avellaneda","INDEC","06035010003","06035010","Avellaneda","060035","Avellaneda","CRUCESITA","06","Buenos Aires"
"Entidad",-34.6491266928534,-58.3411774769136,"06035","Avellaneda","INDEC","06035010004","06035010","Avellaneda","060035","Avellaneda","DOCK SUD","06","Buenos Aires"
"Entidad",-34.6847637540553,-58.3726025503412,"06035","Avellaneda","INDEC","06035010005","06035010","Avellaneda","060035","Avellaneda","GERLI","06","Buenos Aires"
"Entidad",-34.6685497926645,-58.3886029123689,"06035","Avellaneda","INDEC","06035010006","06035010","Avellaneda","060035","Avellaneda","PIÑEYRO","06","Buenos Aires"
"Entidad",-34.6843716640855,-58.348101313379,"06035","Avellaneda","INDEC","06035010007","06035010","Avellaneda","060035","Avellaneda","SARANDI","06","Buenos Aires"
"Entidad",-34.6986315148924,-58.3363602646664,"06035","Avellaneda","INDEC","06035010008","06035010","Avellaneda","060035","Avellaneda","VILLA DOMINICO","06","Buenos Aires"
"Entidad",-34.7061588356333,-58.3218349208501,"06035","Avellaneda","INDEC","06035010009","06035010","Avellaneda","060035","Avellaneda","WILDE","06","Buenos Aires"
"Localidad simple",-37.1536695670417,-58.4895476662462,"06042","Ayacucho","INDEC","06042010000","06042010","Ayacucho","060042","Ayacucho","AYACUCHO","06","Buenos Aires"
"Localidad simple",-37.2286256057071,-58.7603890048806,"06042","Ayacucho","INDEC","06042020000","06042020","La Constancia","060042","Ayacucho","LA CONSTANCIA","06","Buenos Aires"
"Localidad simple",-36.8444984439739,-58.5071421689017,"06042","Ayacucho","INDEC","06042030000","06042030","Solanet","060042","Ayacucho","SOLANET","06","Buenos Aires"
"Localidad simple",-36.5637513540211,-58.5333344196536,"06042","Ayacucho","INDEC","06042040000","06042040","Udaquiola","060042","Ayacucho","UDAQUIOLA","06","Buenos Aires"
"Localidad simple",-36.5312544192466,-59.9200651844348,"06049","Azul","INDEC","06049010000","06049010","Ariel","060049","Azul","ARIEL","06","Buenos Aires"
"Localidad simple",-36.7795144970313,-59.8586331707414,"06049","Azul","INDEC","06049020000","06049020","Azul","060049","Azul","AZUL","06","Buenos Aires"
"Localidad simple",-36.3805626332947,-59.5030645507265,"06049","Azul","INDEC","06049030000","06049030","Cacharí","060049","Azul","CACHARI","06","Buenos Aires"
"Localidad simple",-37.3150113247344,-59.9853181679139,"06049","Azul","INDEC","06049040000","06049040","Chillar","060049","Azul","CHILLAR","06","Buenos Aires"
"Localidad simple",-37.2020524773603,-60.1652139181813,"06049","Azul","INDEC","06049050000","06049050","16 de Julio","060049","Azul","16 DE JULIO","06","Buenos Aires"
"Entidad",-38.7114037284555,-62.2569089501864,"06056","Bahía Blanca","INDEC","06056010001","06056010","Bahía Blanca","060056","Bahía Blanca","BAHIA BLANCA","06","Buenos Aires"
"Entidad",-38.7471079502848,-62.1891166907456,"06056","Bahía Blanca","INDEC","06056010002","06056010","Bahía Blanca","060056","Bahía Blanca","GRÜNBEIN","06","Buenos Aires"
"Entidad",-38.7794670416666,-62.262951248824,"06056","Bahía Blanca","INDEC","06056010003","06056010","Bahía Blanca","060056","Bahía Blanca","INGENIERO WHITE","06","Buenos Aires"
"Entidad",-38.6472605094596,-62.3200223419024,"06056","Bahía Blanca","INDEC","06056010004","06056010","Bahía Blanca","060056","Bahía Blanca","VILLA BORDEAU","06","Buenos Aires"
"Entidad",-38.7765069529222,-62.1851833537179,"06056","Bahía Blanca","INDEC","06056010005","06056010","Bahía Blanca","060056","Bahía Blanca","VILLA ESPORA","06","Buenos Aires"
"Localidad simple",-38.4838572081944,-61.8926015349487,"06056","Bahía Blanca","INDEC","06056020000","06056020","Cabildo","060056","Bahía Blanca","CABILDO","06","Buenos Aires"
"Localidad simple",-38.7136524854986,-62.3924221653991,"06056","Bahía Blanca","INDEC","06056030000","06056030","General Daniel Cerri","060056","Bahía Blanca","GENERAL DANIEL CERRI","06","Buenos Aires"
"Localidad simple",-37.8482779294345,-58.2551665841248,"06063","Balcarce","INDEC","06063010000","06063010","Balcarce","060063","Balcarce","BALCARCE","06","Buenos Aires"
"Localidad simple",-37.9412057603,-58.3225920150442,"06063","Balcarce","INDEC","06063020000","06063020","Los Pinos","060063","Balcarce","LOS PINOS","06","Buenos Aires"
"Localidad simple",-37.6254980210026,-58.7461862359423,"06063","Balcarce","INDEC","06063030000","06063030","Napaleofú","060063","Balcarce","NAPALEOFU","06","Buenos Aires"
"Localidad simple",-37.5426353712017,-58.3407185507274,"06063","Balcarce","INDEC","06063040000","06063040","Ramos Otero","060063","Balcarce","RAMOS OTERO","06","Buenos Aires"
"Localidad simple",-38.0122838564587,-58.355377761682,"06063","Balcarce","INDEC","06063050000","06063050","San Agustín","060063","Balcarce","SAN AGUSTIN","06","Buenos Aires"
